date,ICT Liquidity Sweep,Trend Following (EMA+ADX),Mean Reversion (RSI+BB),Breakout (20d Range)
2022-01-30,7608.28,10238.59,10000.00,9669.23
2022-01-31,7619.74,8573.14,10000.00,9669.23
2022-02-01,7528.69,8494.66,10000.00,9669.23
2022-02-02,9402.49,8512.52,10000.00,9669.23
2022-02-03,9617.18,8697.99,10000.00,9669.23
2022-02-04,9617.18,8690.50,10000.00,9669.23
2022-02-05,9571.01,8733.77,10000.00,9669.23
2022-02-06,9571.01,10005.04,10000.00,9669.23
2022-02-07,9571.01,10005.04,10000.00,9669.23
2022-02-08,7671.70,10005.04,10000.00,9669.23
2022-02-09,7632.99,10005.04,10000.00,9669.23
2022-02-10,7583.81,10005.04,10000.00,9669.23
2022-02-11,7576.86,10005.04,10000.00,9669.23
2022-02-12,7569.51,10005.04,10000.00,9669.23
2022-02-13,7590.46,10005.04,10000.00,9669.23
2022-02-14,7678.36,10005.04,10000.00,9669.23
2022-02-15,7648.83,10005.04,10000.00,9669.23
2022-02-16,9724.52,10005.04,10000.00,9669.23
2022-02-17,9724.52,10005.04,10000.00,9669.23
2022-02-18,9724.52,10005.04,10000.00,9669.23
2022-02-19,9724.52,10005.04,10000.00,9669.23
2022-02-20,9724.52,10005.04,10000.00,9669.23
2022-02-21,9724.52,8151.90,10000.00,9669.23
2022-02-22,7728.95,8100.31,10000.00,9669.23
2022-02-23,7783.98,8156.34,10000.00,9669.23
2022-02-24,7829.02,8202.20,10000.00,9669.23
2022-02-25,7823.69,8196.77,10000.00,9669.23
2022-02-26,7751.52,8123.29,10000.00,9669.23
2022-02-27,9974.66,9686.65,10000.00,9669.23
2022-02-28,9974.66,9686.65,10000.00,9669.23
2022-03-01,9974.66,9686.65,10000.00,9669.23
2022-03-02,7913.39,9686.65,10000.00,9669.23
2022-03-03,10191.75,9686.65,10000.00,9669.23
2022-03-04,10191.75,8262.42,10000.00,9669.23
2022-03-05,10191.75,8226.61,10000.00,9669.23
2022-03-06,10191.75,8212.03,10000.00,9669.23
2022-03-07,10191.75,8238.31,10000.00,9669.23
2022-03-08,10191.75,8355.99,10000.00,9669.23
2022-03-09,10191.75,8263.76,10000.00,9669.23
2022-03-10,10191.75,8238.04,10000.00,9669.23
2022-03-11,10191.75,8240.40,10000.00,9669.23
2022-03-12,10191.75,8203.45,10000.00,9669.23
2022-03-13,10191.75,9666.81,10000.00,9669.23
2022-03-14,8133.81,9666.81,10000.00,9669.23
2022-03-15,8227.20,7935.30,10000.00,9669.23
2022-03-16,8218.12,7927.13,10000.00,9669.23
2022-03-17,8260.96,7965.65,10000.00,9669.23
2022-03-18,8283.76,7986.16,10000.00,9669.23
2022-03-19,10271.18,7940.36,10000.00,9669.23
2022-03-20,10271.18,7931.15,10000.00,9669.23
2022-03-21,10271.18,7992.86,10000.00,9669.23
2022-03-22,10271.18,8017.06,10000.00,9669.23
2022-03-23,10271.18,9450.15,10000.00,9669.23
2022-03-24,10271.18,7574.06,10000.00,8429.65
2022-03-25,10271.18,7583.12,10000.00,8435.64
2022-03-26,10271.18,7681.89,10000.00,8500.90
2022-03-27,10271.18,7694.20,10000.00,8509.04
2022-03-28,10271.18,7707.80,10000.00,8518.02
2022-03-29,10271.18,7691.09,10000.00,8506.98
2022-03-30,10271.18,9515.25,10000.00,9712.25
2022-03-31,10271.18,7644.69,10000.00,9712.25
2022-04-01,10271.18,7624.73,10000.00,9712.25
2022-04-02,10271.18,7649.47,10000.00,9712.25
2022-04-03,10271.18,7657.63,10000.00,9712.25
2022-04-04,10271.18,7611.32,10000.00,9712.25
2022-04-05,10271.18,7514.18,10000.00,9712.25
2022-04-06,10271.18,7526.23,10000.00,9712.25
2022-04-07,10271.18,9379.42,10000.00,9712.25
2022-04-08,10271.18,9379.42,10000.00,9712.25
2022-04-09,10271.18,9379.42,10000.00,9712.25
2022-04-10,10143.64,9379.42,10000.00,9712.25
2022-04-11,10143.64,9379.42,10000.00,8838.96
2022-04-12,10143.64,9379.42,10000.00,8862.79
2022-04-13,10143.64,9379.42,10000.00,8835.93
2022-04-14,10143.64,9379.42,10000.00,8849.64
2022-04-15,10143.64,9379.42,10000.00,8845.81
2022-04-16,10143.64,7470.82,10000.00,8830.03
2022-04-17,10143.64,7522.97,10000.00,8855.19
2022-04-18,8149.38,7555.17,10000.00,8870.72
2022-04-19,8142.97,7549.18,10000.00,8867.83
2022-04-20,8099.00,7508.10,10000.00,9690.88
2022-04-21,8060.48,7472.12,10000.00,9690.88
2022-04-22,8047.06,7459.57,10000.00,9690.88
2022-04-23,8048.07,7460.52,10000.00,9690.88
2022-04-24,8096.35,7505.62,10000.00,9690.88
2022-04-25,10009.74,9485.08,10000.00,9690.88
2022-04-26,10009.74,7644.53,10000.00,8468.73
2022-04-27,10009.74,7669.30,10000.00,8485.17
2022-04-28,10009.74,7611.79,10000.00,8446.99
2022-04-29,10009.74,7564.81,10000.00,8415.79
2022-04-30,10009.74,7606.14,10000.00,8443.23
2022-05-01,8009.48,7607.75,10000.00,8444.30
2022-05-02,7968.51,7568.55,10000.00,8418.28
2022-05-03,8070.21,7665.84,10000.00,8482.88
2022-05-04,9909.14,7509.90,10000.00,8379.33
2022-05-05,9909.14,9589.96,10000.00,9760.52
2022-05-06,7897.56,7643.17,10000.00,9760.52
2022-05-07,9800.39,7566.72,10000.00,9760.52
2022-05-08,9800.39,7355.96,10000.00,8933.08
2022-05-09,9800.39,9856.11,10000.00,9826.31
2022-05-10,9674.24,8188.60,10000.00,9826.31
2022-05-11,9674.24,8183.47,10000.00,9340.55
2022-05-12,7878.50,8200.10,10000.00,9346.04
2022-05-13,7929.10,9904.74,10000.00,9359.48
2022-05-14,8007.36,8715.27,10000.00,9380.26
2022-05-15,9732.21,8655.08,10000.00,9355.94
2022-05-16,9732.21,8678.92,10000.00,9365.58
2022-05-17,9732.21,8606.71,10000.00,9336.41
2022-05-18,9732.21,8673.41,10000.00,9363.35
2022-05-19,9732.21,8627.31,10000.00,9344.73
2022-05-20,9732.21,9931.16,10000.00,9819.75
2022-05-21,9732.21,8729.64,10000.00,9819.75
2022-05-22,9732.21,8679.63,10000.00,9819.75
2022-05-23,9732.21,8702.96,10000.00,9819.75
2022-05-24,7777.77,8697.83,10000.00,9819.75
2022-05-25,7756.77,8684.39,10000.00,9819.75
2022-05-26,9664.37,8659.50,10000.00,9819.75
2022-05-27,9664.37,8677.02,10000.00,9819.75
2022-05-28,9664.37,8695.47,10000.00,9819.75
2022-05-29,9664.37,8790.74,10000.00,9819.75
2022-05-30,9664.37,9831.38,10000.00,9819.75
2022-05-31,9785.55,9831.38,10000.00,9819.75
2022-06-01,9785.55,9831.38,10000.00,9819.75
2022-06-02,9785.55,9831.38,10000.00,9819.75
2022-06-03,9785.55,9831.38,10000.00,9819.75
2022-06-04,9785.55,9831.38,10000.00,9819.75
2022-06-05,9785.55,9831.38,10000.00,9819.75
2022-06-06,9785.55,9831.38,10000.00,9819.75
2022-06-07,9785.55,9831.38,10000.00,9819.75
2022-06-08,9785.55,9831.38,10000.00,9819.75
2022-06-09,9785.55,9831.38,10000.00,9819.75
2022-06-10,9785.55,9831.38,10000.00,9819.75
2022-06-11,9785.55,9831.38,10000.00,9819.75
2022-06-12,9785.55,9831.38,10000.00,9819.75
2022-06-13,9785.55,8494.11,10000.00,9366.74
2022-06-14,7868.11,8520.38,10000.00,9375.64
2022-06-15,9631.10,8391.84,10000.00,9332.10
2022-06-16,9631.10,8395.32,10000.00,9333.28
2022-06-17,9631.10,8308.72,10000.00,9303.94
2022-06-18,9631.10,9943.76,10000.00,9857.82
2022-06-19,9631.10,9018.71,10000.00,9857.82
2022-06-20,9631.10,9025.39,10000.00,9857.82
2022-06-21,9631.10,8991.95,10000.00,9857.82
2022-06-22,9631.10,9043.35,10000.00,9857.82
2022-06-23,9631.10,9048.80,10000.00,9857.82
2022-06-24,9631.10,9060.26,10000.00,9857.82
2022-06-25,9631.10,9040.36,10000.00,9857.82
2022-06-26,9631.10,9026.24,10000.00,9857.82
2022-06-27,9631.10,9005.26,10000.00,9857.82
2022-06-28,9631.10,9964.43,10000.00,9857.82
2022-06-29,9631.10,8543.48,10000.00,9857.82
2022-06-30,7641.10,8497.29,10000.00,9857.82
2022-07-01,7638.81,8495.64,10000.00,9857.82
2022-07-02,7645.44,8500.44,10000.00,9857.82
2022-07-03,7734.32,8564.80,10000.00,9857.82
2022-07-04,7729.09,8561.01,10000.00,9857.82
2022-07-05,7766.47,8588.08,10000.00,9857.82
2022-07-06,7869.68,8662.83,10000.00,9857.82
2022-07-07,7867.83,8661.48,10000.00,9857.82
2022-07-08,7866.81,9860.17,10000.00,9857.82
2022-07-09,9721.86,9860.17,10000.00,9857.82
2022-07-10,9721.86,9860.17,10000.00,9857.82
2022-07-11,9721.86,9860.17,10000.00,9857.82
2022-07-12,9721.86,9860.17,10000.00,9857.82
2022-07-13,9721.86,9860.17,10000.00,9857.82
2022-07-14,9721.86,9860.17,10000.00,9857.82
2022-07-15,9721.86,9860.17,10000.00,9857.82
2022-07-16,9721.86,9860.17,10000.00,9857.82
2022-07-17,9567.13,9860.17,10000.00,9857.82
2022-07-18,9567.13,9860.17,10000.00,8749.75
2022-07-19,9567.13,9860.17,10000.00,8740.61
2022-07-20,7648.00,9860.17,10000.00,8737.04
2022-07-21,7609.51,9860.17,10000.00,9870.13
2022-07-22,7590.21,9860.17,10000.00,9870.13
2022-07-23,7601.19,9860.17,10000.00,9870.13
2022-07-24,7495.74,9860.17,10000.00,9870.13
2022-07-25,7491.83,9860.17,10000.00,9870.13
2022-07-26,9588.77,9860.17,10000.00,9870.13
2022-07-27,9588.77,9860.17,10000.00,9870.13
2022-07-28,9588.77,9860.17,10000.00,9870.13
2022-07-29,7661.08,9860.17,10000.00,9870.13
2022-07-30,7633.82,9860.17,10000.00,9870.13
2022-07-31,7630.87,9860.17,10000.00,9870.13
2022-08-01,7608.27,9860.17,10000.00,9870.13
2022-08-02,7594.86,9860.17,10000.00,9870.13
2022-08-03,7578.54,9860.17,10000.00,9870.13
2022-08-04,9625.07,9860.17,10000.00,9870.13
2022-08-05,9625.07,9860.17,10000.00,9870.13
2022-08-06,9625.07,9860.17,10000.00,9870.13
2022-08-07,9625.07,9860.17,10000.00,9870.13
2022-08-08,9625.07,9860.17,10000.00,9870.13
2022-08-09,9625.07,7956.52,10000.00,9870.13
2022-08-10,9625.07,7955.13,10000.00,9870.13
2022-08-11,7737.75,7995.06,10000.00,9870.13
2022-08-12,7740.78,7998.26,10000.00,9870.13
2022-08-13,7729.83,7986.67,10000.00,9870.13
2022-08-14,7712.79,7968.61,10000.00,9870.13
2022-08-15,7693.25,9919.95,10000.00,9870.13
2022-08-16,7651.39,7892.67,10000.00,9870.13
2022-08-17,7640.41,7881.32,10000.00,9870.13
2022-08-18,9875.11,9668.39,10000.00,9870.13
2022-08-19,9875.11,9668.39,10000.00,8942.97
2022-08-20,7934.90,9668.39,10000.00,8959.81
2022-08-21,7924.15,9668.39,10000.00,8954.61
2022-08-22,7935.45,9668.39,10000.00,8960.07
2022-08-23,7921.29,9668.39,10000.00,8953.23
2022-08-24,7939.64,9668.39,10000.00,8962.10
2022-08-25,9791.58,9668.39,10000.00,8902.58
2022-08-26,9791.58,7714.69,10000.00,8893.12
2022-08-27,9791.58,7668.44,10000.00,8871.24
2022-08-28,9791.58,7738.95,10000.00,9894.57
2022-08-29,9791.58,7693.22,10000.00,9894.57
2022-08-30,9791.58,7715.83,10000.00,9894.57
2022-08-31,9791.58,7723.43,10000.00,9894.57
2022-09-01,9791.58,9696.13,10000.00,9894.57
2022-09-02,9791.58,9696.13,10000.00,9894.57
2022-09-03,9791.58,9696.13,10000.00,9894.57
2022-09-04,9791.58,7736.53,10000.00,9894.57
2022-09-05,9791.58,7639.46,10000.00,9894.57
2022-09-06,9791.58,9765.54,10000.00,9140.86
2022-09-07,7836.75,7815.90,10000.00,9142.27
2022-09-08,10003.00,9554.69,10000.00,9226.63
2022-09-09,10003.00,9554.69,10000.00,9238.39
2022-09-10,10003.00,9554.69,10000.00,9245.86
2022-09-11,10003.00,9554.69,10000.00,9269.10
2022-09-12,10003.00,9554.69,10000.00,9177.37
2022-09-13,10003.00,9554.69,10000.00,9179.83
2022-09-14,10003.00,9554.69,10000.00,9157.86
2022-09-15,10003.00,9554.69,10000.00,9852.88
2022-09-16,10003.00,9554.69,10000.00,9852.88
2022-09-17,10003.00,9554.69,10000.00,9852.88
2022-09-18,10003.00,9554.69,10000.00,9852.88
2022-09-19,10003.00,9554.69,10000.00,9852.88
2022-09-20,10003.00,9554.69,10000.00,9852.88
2022-09-21,10003.00,9554.69,10000.00,9852.88
2022-09-22,10003.00,9554.69,10000.00,9852.88
2022-09-23,10003.00,7715.74,10000.00,9852.88
2022-09-24,10003.00,7705.03,10000.00,9852.88
2022-09-25,10003.00,7744.42,10000.00,9852.88
2022-09-26,10003.00,7730.43,10000.00,9852.88
2022-09-27,10003.00,7761.42,10000.00,9852.88
2022-09-28,8021.03,7778.33,10000.00,9852.88
2022-09-29,8003.73,7762.63,10000.00,9852.88
2022-09-30,7992.23,7752.18,10000.00,9852.88
2022-10-01,7965.86,7728.25,10000.00,9852.88
2022-10-02,8025.04,9522.77,10000.00,9852.88
2022-10-03,8098.44,9522.77,10000.00,9852.88
2022-10-04,8079.49,9522.77,10000.00,9852.88
2022-10-05,8059.33,9522.77,10000.00,9852.88
2022-10-06,8014.78,9522.77,10000.00,9852.88
2022-10-07,10003.68,9522.77,10000.00,9852.88
2022-10-08,10003.68,9522.77,10000.00,9852.88
2022-10-09,10003.68,9522.77,10000.00,9852.88
2022-10-10,10003.68,7610.94,10000.00,9852.88
2022-10-11,10003.68,7620.55,10000.00,9852.88
2022-10-12,10003.68,7642.86,10000.00,9852.88
2022-10-13,10003.68,7623.26,10000.00,9852.88
2022-10-14,10003.68,7612.08,10000.00,9852.88
2022-10-15,10003.68,7631.45,10000.00,9852.88
2022-10-16,10003.68,7659.94,10000.00,9852.88
2022-10-17,10003.68,7638.02,10000.00,9852.88
2022-10-18,10003.68,7617.47,10000.00,9852.88
2022-10-19,10003.68,9531.51,10000.00,9852.88
2022-10-20,8015.85,7637.51,10000.00,9852.88
2022-10-21,8020.18,7641.63,10000.00,9852.88
2022-10-22,10059.27,7678.17,10000.00,9852.88
2022-10-23,10059.27,7653.99,10000.00,9852.88
2022-10-24,10059.27,9427.04,10000.00,9852.88
2022-10-25,10059.27,9427.04,10000.00,9852.88
2022-10-26,10059.27,9427.04,10000.00,8208.48
2022-10-27,10059.27,7569.93,10000.00,8232.04
2022-10-28,10059.27,7590.40,10000.00,8249.08
2022-10-29,8029.10,7572.79,10000.00,8234.42
2022-10-30,8015.75,7559.96,10000.00,8223.74
2022-10-31,8014.57,7558.82,10000.00,8222.79
2022-11-01,10123.99,7528.17,10000.00,8197.27
2022-11-02,10123.99,7533.52,10000.00,8201.73
2022-11-03,10123.99,7621.09,10000.00,8274.64
2022-11-04,10123.99,7635.12,10000.00,9893.48
2022-11-05,10123.99,9484.20,10000.00,9893.48
2022-11-06,10123.99,7558.62,10000.00,9893.48
2022-11-07,10123.99,9269.59,10000.00,9893.48
2022-11-08,10123.99,9269.59,10000.00,8455.53
2022-11-09,10123.99,7887.48,10000.00,9960.07
2022-11-10,10123.99,7833.30,10000.00,9960.07
2022-11-11,10123.99,7810.35,10000.00,9960.07
2022-11-12,10123.99,7764.57,10000.00,9960.07
2022-11-13,10123.99,7792.50,10000.00,9960.07
2022-11-14,10123.99,7820.68,10000.00,9960.07
2022-11-15,10123.99,7798.00,10000.00,9960.07
2022-11-16,10123.99,7801.15,10000.00,9960.07
2022-11-17,10123.99,7800.93,10000.00,9960.07
2022-11-18,10123.99,9184.81,10000.00,9960.07
2022-11-19,10123.99,7794.77,10000.00,9960.07
2022-11-20,10123.99,7754.69,10000.00,9960.07
2022-11-21,10123.99,9224.24,10000.00,9960.07
2022-11-22,10123.99,7712.37,10000.00,9960.07
2022-11-23,10123.99,7712.13,10000.00,9960.07
2022-11-24,10123.99,7704.46,10000.00,9960.07
2022-11-25,10123.99,7699.03,10000.00,9960.07
2022-11-26,10123.99,7696.09,10000.00,9960.07
2022-11-27,10123.99,7675.64,10000.00,9960.07
2022-11-28,8127.28,7697.14,10000.00,9960.07
2022-11-29,10243.35,7767.02,10000.00,9960.07
2022-11-30,10243.35,7749.45,10000.00,9960.07
2022-12-01,10243.35,9138.51,10000.00,9960.07
2022-12-02,10243.35,9138.51,10000.00,9960.07
2022-12-03,10243.35,9138.51,10000.00,9960.07
2022-12-04,10243.35,9138.51,10000.00,9960.07
